,,,,,Score,Score,Score,Score,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
58,58,2024-02-27,,PHI,W,117,99,,122.4,103.6,95.6,.500,.297,.648,66.7,53.8,7.3,17.3,.561,13.4,31.0,.459,.468,9.2,14.5,.117
59,59,2024-03-01,,DAL,W,138,110,,140.5,112.0,98.2,.138,.457,.692,52.8,63.5,4.1,13.3,.665,8.3,22.0,.138,.516,7.3,20.8,.138
60,60,2024-03-03,,GSW,W,140,88,,138.7,87.2,101.0,.115,.510,.694,52.6,66.0,9.9,9.8,.682,7.4,17.1,.094,.429,14.8,21.4,.098
61,61,2024-03-05,@,CLE,L,104,105,,110.6,111.7,94.0,.129,.409,.529,55.8,61.5,6.4,18.8,.500,11.7,29.2,.118,.544,8.7,17.0,.078
62,62,2024-03-07,@,DEN,L,109,115,,110.8,116.9,98.4,.275,.418,.534,51.1,58.5,6.1,4.3,.511,10.5,26.0,.176,.522,7.4,19.0,.233
63,63,2024-03-09,@,PHO,W,117,107,,121.3,110.9,96.5,.138,.415,.587,51.2,63.0,7.3,7.1,.569,10.7,29.5,.106,.557,13.8,25.0,.115
64,64,2024-03-11,@,POR,W,121,99,,133.8,109.5,90.4,.120,.400,.575,54.2,69.4,7.7,16.9,.565,2.8,32.6,.080,.506,10.7,22.5,.126
65,65,2024-03-12,@,UTA,W,123,107,,135.6,118.0,90.7,.207,.533,.613,54.8,58.1,5.5,14.8,.576,8.2,32.6,.185,.564,9.9,22.0,.116
66,66,2024-03-14,,PHO,W,127,112,,133.5,117.7,95.2,.124,.562,.677,39.3,66.0,12.6,7.4,.669,9.6,15.8,.090,.530,11.9,41.3,.071
67,67,2024-03-17,@,WAS,W,130,104,,132.5,106.0,98.1,.276,.575,.666,51.8,69.8,9.2,10.9,.632,13.3,28.6,.230,.517,14.4,24.4,.135
68,68,2024-03-18,,DET,W,119,94,,126.2,99.7,94.3,.137,.516,.591,55.2,69.8,8.5,14.5,.568,9.8,30.0,.116,.482,12.5,17.4,.155
69,69,2024-03-20,,MIL,W,122,119,,130.4,127.2,93.6,.341,.471,.624,47.4,62.5,6.4,10.2,.576,8.4,25.6,.282,.637,14.3,25.7,.143
70,70,2024-03-22,@,DET,W,129,102,,132.0,104.4,97.7,.303,.506,.639,45.5,66.0,9.2,9.6,.618,6.5,19.0,.213,.560,17.6,22.9,.108
71,71,2024-03-23,@,CHI,W,124,113,,137.4,125.2,90.2,.198,.558,.663,58.6,63.6,5.5,5.2,.634,11.4,31.6,.174,.628,7.5,9.4,.122
72,72,2024-03-25,@,ATL,L,118,120,,126.0,128.1,93.7,.200,.400,.571,46.3,44.7,7.5,15.7,.553,8.0,29.3,.137,.632,12.1,36.6,.115
73,73,2024-03-28,@,ATL,L,122,123,OT,119.6,120.6,92.4,.223,.383,.591,44.8,62.2,6.9,10.0,.553,10.4,20.0,.191,.563,9.2,33.3,.058
74,74,2024-03-30,@,NOP,W,104,92,,114.2,101.1,91.0,.146,.451,.596,55.4,69.2,7.7,13.7,.567,13.0,20.5,.134,.471,8.7,18.9,.128
75,75,2024-04-01,@,CHO,W,118,104,,126.0,111.1,93.6,.180,.596,.614,56.0,65.1,3.2,5.6,.590,10.3,25.6,.146,.522,6.8,16.7,.099
76,76,2024-04-03,,OKC,W,135,100,,136.9,101.4,98.6,.207,.435,.673,59.7,66.0,7.1,17.5,.636,9.9,29.7,.196,.463,13.0,12.5,.309
77,77,2024-04-05,,SAC,W,101,100,,109.5,108.4,92.2,.202,.494,.521,48.6,65.8,6.5,8.3,.494,7.6,23.5,.146,.470,6.3,27.8,.071
78,78,2024-04-07,,POR,W,124,107,,126.4,109.1,98.1,.149,.437,.669,43.0,69.4,11.2,12.5,.655,12.3,13.9,.115,.461,12.2,38.6,.127
79,79,2024-04-09,@,MIL,L,91,104,,101.4,115.9,89.7,.000,.559,.489,43.7,73.0,12.3,8.9,.489,11.4,23.5,.000,.636,18.0,27.8,.012
80,80,2024-04-11,,NYK,L,109,118,,114.5,124.0,95.2,.186,.488,.586,40.9,62.5,7.4,19.0,.558,11.4,22.2,.151,.566,12.7,39.5,.061
81,81,2024-04-12,,CHO,W,131,98,,133.4,99.8,98.2,.125,.394,.597,61.6,63.0,12.2,2.4,.587,5.2,35.6,.087,.520,18.9,9.8,.250
82,82,2024-04-14,,WAS,W,132,122,,124.1,114.7,106.3,.236,.360,.672,57.1,56.9,9.4,23.1,.663,14.8,26.3,.157,.544,10.1,17.4,.097
